PARSE TREE:
Lexeme: declare, Line no: 1, Tk_name: DECLARE, ValueIfNumber: ----, Parent: moduleDeclaration, YES, NodeSymbol: ----
Lexeme: ,, Line no: 4, Tk_name: COMMA, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: input_plist, IsLeaf: NO, NodeSymbol: moreList
Lexeme: n, Line no: 4, Tk_name: ID, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: integer, Line no: 4, Tk_name: INTEGER, ValueIfNumber: ----, Parent: COLON, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreList, IsLeaf: NO, NodeSymbol: COLON
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: moreList, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ], Line no: 4, Tk_name: moreList, ValueIfNumber: ----, Parent: moreList, YES, NodeSymbol: ----
Lexeme: ;, Line no: 4, Tk_name: SQBC, ValueIfNumber: ----, Parent: module, YES, NodeSymbol: ----
Lexeme: returns, Line no: 5, Tk_name: RETURNS, ValueIfNumber: ----, Parent: SEMICOL, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: SEMICOL
Lexeme: [, Line no: 5, Tk_name: SQBO, ValueIfNumber: ----, Parent: SEMICOL, YES, NodeSymbol: ----
Lexeme: sum, Line no: 5, Tk_name: ID, ValueIfNumber: ----, Parent: output_plist, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: SEMICOL, IsLeaf: NO, NodeSymbol: output_plist
Lexeme: :, Line no: 5, Tk_name: COLON, ValueIfNumber: ----, Parent: output_plist, YES, NodeSymbol: ----
Lexeme: real, Line no: 5, Tk_name: REAL, ValueIfNumber: ----, Parent: type, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: output_plist, IsLeaf: NO, NodeSymbol: type
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: output_plist, IsLeaf: NO, NodeSymbol: moreOutput
Lexeme: ], Line no: 5, Tk_name: SQBC, ValueIfNumber: ----, Parent: SEMICOL, YES, NodeSymbol: ----
Lexeme: ;, Line no: 5, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: SEMICOL, YES, NodeSymbol: ----
Lexeme: start, Line no: 6, Tk_name: START, ValueIfNumber: ----, Parent: ret, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: module, IsLeaf: NO, NodeSymbol: ret
Lexeme: declare, Line no: 7, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: index, Line no: 7, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 7, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: integer, Line no: 7, Tk_name: INTEGER, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ;, Line no: 7, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ret, IsLeaf: NO, NodeSymbol: statements
Lexeme: declare, Line no: 8, Tk_name: DECLARE, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: declareStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: sign
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: actualParameter
Lexeme: t, Line no: 8, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: actualParameter, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: idList
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: idList, IsLeaf: NO, NodeSymbol: moreId
Lexeme: :, Line no: 8, Tk_name: COLON, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: boolean, Line no: 8, Tk_name: BOOLEAN, ValueIfNumber: ----, Parent: dataType, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: declareStmt, IsLeaf: NO, NodeSymbol: dataType
Lexeme: ;, Line no: 8, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: declareStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: sum, Line no: 9, Tk_name: ID, ValueIfNumber: ----, Parent: assignmentStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: assignmentStmt
Lexeme: for, Line no: 10, Tk_name: FOR, ValueIfNumber: ----, Parent: iterativeStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: iterativeStmt
Lexeme: (, Line no: 10, Tk_name: BO, ValueIfNumber: ----, Parent: iterativeStmt, YES, NodeSymbol: ----
Lexeme: index, Line no: 10, Tk_name: ID, ValueIfNumber: ----, Parent: iterativeStmt, YES, NodeSymbol: ----
Lexeme: ), Line no: 10, Tk_name: IN, ValueIfNumber: ----, Parent: iterativeStmt, YES, NodeSymbol: ----
Lexeme: start, Line no: 11, Tk_name: range_for, ValueIfNumber: ----, Parent: iterativeStmt, YES, NodeSymbol: ----
Lexeme: t, Line no: 12, Tk_name: ID, ValueIfNumber: ----, Parent: assignmentStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: assignmentStmt
Lexeme: :=, Line no: 12, Tk_name: ASSIGNOP, ValueIfNumber: ----, Parent: lvalueIDStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: whichStmt, IsLeaf: NO, NodeSymbol: lvalueIDStmt
Lexeme: index, Line no: 12, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: nextTerm, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: nextTerm
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: term
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: a2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: anyTerm, IsLeaf: NO, NodeSymbol: arithmeticExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: a1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, IsLeaf: NO, NodeSymbol: anyTerm
Lexeme: <=, Line no: 12, Tk_name: LE, ValueIfNumber: ----, Parent: relationalOp, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ab2, IsLeaf: NO, NodeSymbol: relationalOp
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: anyTerm, IsLeaf: NO, NodeSymbol: ab2
Lexeme: n, Line no: 12, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: nextTerm, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: nextTerm
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: term
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: a2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ab2, IsLeaf: NO, NodeSymbol: arithmeticExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: a1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: expression, IsLeaf: NO, NodeSymbol: arithmeticOrBooleanExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, IsLeaf: NO, NodeSymbol: ab1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: lvalueIDStmt, IsLeaf: NO, NodeSymbol: expression
Lexeme: ;, Line no: 12, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: lvalueIDStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: assignmentStmt, IsLeaf: NO, NodeSymbol: whichStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: simpleStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: BC, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: iterativeStmt, IsLeaf: NO, NodeSymbol: BC
Lexeme: switch, Line no: 13, Tk_name: SWITCH, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: conditionalStmt
Lexeme: (, Line no: 13, Tk_name: BO, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: t, Line no: 13, Tk_name: ID, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: ), Line no: 13, Tk_name: BC, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: start, Line no: 14, Tk_name: START, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: case, Line no: 15, Tk_name: CASE, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: conditionalStmt, IsLeaf: NO, NodeSymbol: caseStmt
Lexeme: true, Line no: 15, Tk_name: TRUE, ValueIfNumber: ----, Parent: value, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: value
Lexeme: :, Line no: 15, Tk_name: COLON, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: print, Line no: 15, Tk_name: PRINT, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 15, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: list, Line no: 15, Tk_name: ID, ValueIfNumber: ----, Parent: print_var, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: print_var
Lexeme: [, Line no: 15, Tk_name: SQBO, ValueIfNumber: ----, Parent: whichId2, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: print_var, IsLeaf: NO, NodeSymbol: whichId2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: whichId2, IsLeaf: NO, NodeSymbol: sign
Lexeme: index, Line no: 15, Tk_name: ID, ValueIfNumber: ----, Parent: index, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: whichId2, IsLeaf: NO, NodeSymbol: index
Lexeme: ], Line no: 15, Tk_name: SQBC, ValueIfNumber: ----, Parent: whichId2, YES, NodeSymbol: ----
Lexeme: ), Line no: 15, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 15, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: statements
Lexeme: sum, Line no: 16, Tk_name: ID, ValueIfNumber: ----, Parent: assignmentStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: simpleStmt, IsLeaf: NO, NodeSymbol: assignmentStmt
Lexeme: :=, Line no: 16, Tk_name: ASSIGNOP, ValueIfNumber: ----, Parent: lvalueIDStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: whichStmt, IsLeaf: NO, NodeSymbol: lvalueIDStmt
Lexeme: sum, Line no: 16, Tk_name: ID, ValueIfNumber: ----, Parent: aVar, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: nextTerm, IsLeaf: NO, NodeSymbol: aVar
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: aVar, IsLeaf: NO, NodeSymbol: whichId
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: nextTerm
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: term
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: term, IsLeaf: NO, NodeSymbol: a2
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: anyTerm, IsLeaf: NO, NodeSymbol: arithmeticExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticExpr, IsLeaf: NO, NodeSymbol: a1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, IsLeaf: NO, NodeSymbol: anyTerm
Lexeme: ;, Line no: 16, Tk_name: ab2, ValueIfNumber: ----, Parent: anyTerm, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: expression, IsLeaf: NO, NodeSymbol: arithmeticOrBooleanExpr
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: arithmeticOrBooleanExpr, IsLeaf: NO, NodeSymbol: ab1
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: lvalueIDStmt, IsLeaf: NO, NodeSymbol: expression
Lexeme: break, Line no: 17, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: lvalueIDStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: assignmentStmt, IsLeaf: NO, NodeSymbol: whichStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: simpleStmt
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: ;, Line no: 17, Tk_name: statements, ValueIfNumber: ----, Parent: statements, YES, NodeSymbol: ----
Lexeme: case, Line no: 18, Tk_name: CASE, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: BREAK, IsLeaf: NO, NodeSymbol: caseStmt
Lexeme: false, Line no: 18, Tk_name: FALSE, ValueIfNumber: ----, Parent: value, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: value
Lexeme: :, Line no: 18, Tk_name: COLON, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: print, Line no: 18, Tk_name: PRINT, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 18, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: sum, Line no: 18, Tk_name: ID, ValueIfNumber: ----, Parent: print_var, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: print_var
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: print_var, IsLeaf: NO, NodeSymbol: whichId2
Lexeme: ), Line no: 18, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 18, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: statements
Lexeme: print, Line no: 19, Tk_name: PRINT, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 19, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: index, Line no: 19, Tk_name: ID, ValueIfNumber: ----, Parent: print_var, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: ioStmt, IsLeaf: NO, NodeSymbol: print_var
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: print_var, IsLeaf: NO, NodeSymbol: whichId2
Lexeme: ), Line no: 19, Tk_name: BC, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 19, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statements
Lexeme: break, Line no: 21, Tk_name: BREAK, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: ;, Line no: 21, Tk_name: SEMICOL, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: post
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: BREAK
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: caseStmt, IsLeaf: NO, NodeSymbol: SEMICOL
Lexeme: end, Line no: 22, Tk_name: post, ValueIfNumber: ----, Parent: caseStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: conditionalStmt, IsLeaf: NO, NodeSymbol: default
Lexeme: end, Line no: 24, Tk_name: END, ValueIfNumber: ----, Parent: conditionalStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statements, IsLeaf: NO, NodeSymbol: statement
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: BC, IsLeaf: NO, NodeSymbol: statements
Lexeme: print, Line no: 25, Tk_name: PRINT, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ----, Line no: ----, Tk name: ----, ValueIfNumber: ----, Parent: statement, IsLeaf: NO, NodeSymbol: ioStmt
Lexeme: (, Line no: 25, Tk_name: BO, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
Lexeme: ), Line no: 25, Tk_name: print_var, ValueIfNumber: ----, Parent: ioStmt, YES, NodeSymbol: ----
